"property","value"
"http://www.w3.org/2000/01/rdf-schema#label","ヌ"
"http://www.w3.org/2000/01/rdf-schema#label","ゾ"
"http://www.w3.org/2000/01/rdf-schema#label","ズ"
"http://www.w3.org/2000/01/rdf-schema#label","ザ"
"http://www.w3.org/2000/01/rdf-schema#label","ク"
"http://www.w3.org/2000/01/rdf-schema#label","み"
"http://www.w3.org/2000/01/rdf-schema#label","ぺ"
"http://www.w3.org/2000/01/rdf-schema#label","ね"
"http://www.w3.org/2000/01/rdf-schema#label","ぬ"
"http://www.w3.org/2000/01/rdf-schema#label","さいたま市"
"http://www.w3.org/2000/01/rdf-schema#label","ぇ"
"http://www.w3.org/2000/01/rdf-schema#label","⠟"
"http://www.w3.org/2000/01/rdf-schema#label","⠓"
"http://www.w3.org/2000/01/rdf-schema#label","⠏"
"http://www.w3.org/2000/01/rdf-schema#label","✈"
"http://www.w3.org/2000/01/rdf-schema#label","⚧"
"http://www.w3.org/2000/01/rdf-schema#label","♭"
"http://www.w3.org/2000/01/rdf-schema#label","♪"
"http://www.w3.org/2000/01/rdf-schema#label","♍"
"http://www.w3.org/2000/01/rdf-schema#label","♇"
"http://www.w3.org/2000/01/rdf-schema#label","♆"
"http://www.w3.org/2000/01/rdf-schema#label","☺"
"http://www.w3.org/2000/01/rdf-schema#label","≈"
"http://www.w3.org/2000/01/rdf-schema#label","∝"
"http://www.w3.org/2000/01/rdf-schema#label","∅"
"http://www.w3.org/2000/01/rdf-schema#label","℮"
"http://www.w3.org/2000/01/rdf-schema#label","℘"
"http://www.w3.org/2000/01/rdf-schema#label","₿"
"http://www.w3.org/2000/01/rdf-schema#label","₫"
"http://www.w3.org/2000/01/rdf-schema#label","₦"
"http://www.w3.org/2000/01/rdf-schema#label","‘"
"http://www.w3.org/2000/01/rdf-schema#label","Ἡ Ἄσσος"
"http://www.w3.org/2000/01/rdf-schema#label","Ἀρδάνιον"
"http://www.w3.org/2000/01/rdf-schema#label","Ṭurah"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddām Ḥusayn Abd al Maŷīd al-Takrītī"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddām Husayn Abd al Maŷīd al-Takrītī"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddam Ḥusayn Abd al-Maŷid al-Takriti"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddam Ḥusayn Abd al Maŷid al Takriti"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddam Husayn Abd al Maŷīd al Takrītī"
"http://www.w3.org/2000/01/rdf-schema#label","Ṣaddam Husayn Abd al Maŷid al-Takriti"
"http://www.w3.org/2000/01/rdf-schema#label","Ṛiṣí"
"http://www.w3.org/2000/01/rdf-schema#label","Ṛita"
"http://www.w3.org/2000/01/rdf-schema#label","Ḷḷ"
"http://www.w3.org/2000/01/rdf-schema#label","Ḷl"
"http://www.w3.org/2000/01/rdf-schema#label","Ḫašḫāš ibn Saʿid ibn Aswad"
"http://www.w3.org/2000/01/rdf-schema#label","Ḫasḫas ibn Saʿid ibn Aswad"
"http://www.w3.org/2000/01/rdf-schema#label","Ḏāl"
"http://www.w3.org/2000/01/rdf-schema#label","Ḏu l-hiŷŷa"
"http://www.w3.org/2000/01/rdf-schema#label","ᜋ"
"http://www.w3.org/2000/01/rdf-schema#label","ᜉ"
"http://www.w3.org/2000/01/rdf-schema#label","ᚫ"
"http://www.w3.org/2000/01/rdf-schema#label","ᚪ"
"http://www.w3.org/2000/01/rdf-schema#label","௹"
"http://www.w3.org/2000/01/rdf-schema#label","தமிழ்"
"http://www.w3.org/2000/01/rdf-schema#label","مصرى"
"http://www.w3.org/2000/01/rdf-schema#label","محمد"
"http://www.w3.org/2000/01/rdf-schema#label","ك"
"http://www.w3.org/2000/01/rdf-schema#label","شنتبرية"
"http://www.w3.org/2000/01/rdf-schema#label","خ"
"http://www.w3.org/2000/01/rdf-schema#label","ة"
"http://www.w3.org/2000/01/rdf-schema#label","بادشاھی مسجد"
"http://www.w3.org/2000/01/rdf-schema#label","أ"
"http://www.w3.org/2000/01/rdf-schema#label","ש"
"http://www.w3.org/2000/01/rdf-schema#label","ף"
"http://www.w3.org/2000/01/rdf-schema#label","נהריה"
"http://www.w3.org/2000/01/rdf-schema#label","הּ"
"http://www.w3.org/2000/01/rdf-schema#label","ה"
"http://www.w3.org/2000/01/rdf-schema#label","ד"
