OID_;ID_Punto;DISTRITO;BARRIO;ESTADO;UBICACIÓN;EMPLAZAMIENTO;INFO_ADICIONAL;Nº_EQUIPOS;CARACTERÍSTICAS_EQUIPO;OPERADOR;GESTIÓN;INFO_FECHA_APERTURA;FECHA_APERTURA;FECHA_ALTA;FECHA_EDICION;COD_DIS;COD_BAR;HORARIO
3740;13 VP;Salamanca;Castellana;Ejecutado;Calle Velázquez 74;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;nov-19;21/11/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;04;6;24
3741;14 VP;Salamanca;Castellana;Ejecutado;Paseo Castellana 52;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;04;6;24
3742;15 VP;Chamartín;El Viso;Ejecutado;Paseo Castellana 106;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;05;1;24
3743;16 VP;Chamartín;Hispanoamérica;Ejecutado;Paseo Castellana 160;Vía pública;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes. Equipo 150 kW: DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A);REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;30/08/2023 9:50:58;05;4;24
3744;17 VP;Chamartín;Castilla;Ejecutado;Calle Cardenal Marcelo Spínola 6;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;sep-19;05/09/2019 22:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;05;6;24
3745;18 VP;Chamberí;Arapiles;Ejecutado;Calle Fernández de los Ríos 42;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;07;2;24
3746;19 VP;Chamberí;Arapiles;Ejecutado;Plaza del Conde de Valle de Suchil;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;nov-19;07/11/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;07;2;24
3747;20 VP;Chamberí;Trafalgar;Ejecutado;Calle Fuencarral 114;Vía pública;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;oct-19;15/10/2019 22:00:00;02/03/2022 15:21:24;02/03/2023 13:52:16;07;3;24
3748;21 VP;Chamberí;Trafalgar;Ejecutado;Calle Manuel Silvela 16;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;dic-20;27/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;07;3;24
3749;03 CoCe20;Chamartín;Nueva España;Ejecutado;Avenida Alberto Alcocer, 11;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;3/05/2022;02/05/2022 22:00:00;02/03/2022 15:21:24;17/06/2022 6:55:13;05;5;24
3750;22 VP;Chamberí;Trafalgar;Ejecutado;Calle Santa Engracia 115;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;abr-21;31/03/2021 22:00:00;02/03/2022 15:21:24;27/04/2022 10:43:53;07;3;24
3751;23 VP;Chamberí;Almagro;Ejecutado;Paseo Castellana 33;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;sep-19;05/09/2019 22:00:00;02/03/2022 15:21:24;27/04/2022 10:43:53;07;4;24
3752;24 VP;Fuencarral - El Pardo;La Paz;Ejecutado;Calle de Sinesio Delgado 2;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;ene-21;30/01/2021 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:53;08;5;24
3753;25 VP;Ciudad Lineal;San Juan Bautista;Ejecutado;Calle Bueso Pineda 29;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;dic-20;27/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:53;15;6;24
3754;01 CoCe18;Centro;Palacio;Ejecutado;Mercado de la Cebada. Plaza de la Cebada;Mercado municipal;Mercado municipal;1;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;Convenio cesión;05/11/2020;05/11/2020 0:00:00;02/03/2022 15:21:24;08/09/2023 11:31:29;01;1;24
3755;02 CoCe18;Chamartín;Nueva España;Ejecutado;Calle Mateo Inurria, 4 ;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;oct-18;25/02/2021 0:00:00;02/03/2022 15:21:24;13/06/2022 10:09:09;05;5;24
3756;03 CoCe18;Tetuán;Berruguete;Ejecutado;Calle Ofelia Nieto, 64 ;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;feb-21;25/02/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:53;06;6;24
3757;04 CoCe18;Fuencarral - El Pardo;Valverde;Ejecutado;ES Repsol 96849 - Calle Abetal 8 - Las Tablas;Estación de servicio;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;20/05/2022;19/05/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:51:45;08;6;24
3758;05 CoCe18;Moncloa - Aravaca;Ciudad Universitaria;Ejecutado;ES Hipódromo(CR A-6, 8);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;14/04/2021;14/04/2021 0:00:00;02/03/2022 15:21:24;07/09/2023 11:52:03;09;3;24
3759;06 CoCe18;Moncloa - Aravaca;El Plantío;Ejecutado;ES Aravaca - El Plantío (Avenida Victoria 34);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;12/04/2021;12/04/2021 0:00:00;02/03/2022 15:21:24;07/09/2023 11:53:35;09;6;24
3760;07 CoCe18;Latina;Cuatro Vientos;Ejecutado;ES Repsol 33826 - Pº Extremadura 543 (A5 PK9);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;07/04/2021;07/04/2021 0:00:00;02/03/2022 15:21:24;07/09/2023 11:54:41;10;6;24
3761;08 CoCe18;Latina;Cuatro Vientos;Ejecutado;CRED PAU CARABANCHEL, Av. de la Peseta;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;01/05/2021;01/05/2021 0:00:00;02/03/2022 15:21:24;07/09/2023 11:56:12;10;6;24
3762;09 CoCe18;Latina;Águilas;Ejecutado;Mercado de las Águilas - Calle de José Cadalso;Mercado municipal;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Convenio cesión;15/10/2021;15/10/2021 0:00:00;02/03/2022 15:21:24;08/09/2023 11:32:05;10;7;24
3763;10 CoCe18;Puente de Vallecas;Palomeras Sureste;Ejecutado;Avenida de la Albufera 319;Aparcamiento;Aparcamiento privado rotación;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ECOLINERAS;Convenio cesión;25/09/2019;25/09/2019 0:00:00;02/03/2022 15:21:24;17/06/2022 6:57:43;13;4;24
3764;11 CoCe18;Hortaleza;Valdefuentes;Ejecutado;Avenida María de Portugal 15;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;Convenio cesión;24/02/2020;24/02/2020 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;16;6;24
3765;12 CoCe18;Villaverde;Butarque;Ejecutado;Avda. de los Rosales 147 M-301 km 4,1;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio-22;14/07/2022 22:00:00;02/03/2022 15:21:24;15/07/2022 7:01:45;17;3;24
3766;13 CoCe18;Villa de Vallecas;Ensanche de Vallecas;Ejecutado;GPV-PAU VALLECAS-139, Calle Real de Arganda, 75;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;12/04/2021;12/04/2021 0:00:00;02/03/2022 15:21:24;07/09/2023 11:59:08;18;3;24
3767;14 CoCe18;San Blas - Canillejas;Rejas;Ejecutado;ES Repsol Barajas II (CR N-2 P.K. 12,60 D);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;mar-22;20/03/2022 23:00:00;02/03/2022 15:21:24;07/09/2023 12:00:21;20;6;24
3770;01 EMT;Centro;Sol;Ejecutado;Plaza de Jacinto Benavente 6;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;mar-18;16/03/2018 0:00:00;02/03/2022 15:21:24;08/09/2023 10:36:52;01;6;24
3771;02 EMT;Salamanca;Recoletos;Ejecutado;Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española ;Aparcamiento;Aparcamiento público rotación. EMT;4;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;mar-18;01/03/2018 1:00:00;02/03/2022 15:21:24;24/01/2024 11:24:04;04;1;24
3772;03 EMT;Salamanca;Lista;Ejecutado;Plaza de Marqués de Salamanca;Aparcamiento;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;Primer semestre 2019;18/03/2019 0:00:00;02/03/2022 15:21:24;08/09/2023 10:38:11;04;5;24
3773;04 EMT;Chamartín;Castilla;Ejecutado;Calle Hiedra 36;Aparcamiento;Aparcamiento público rotación. EMT;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;Segundo semestre 2018;16/10/2018 0:00:00;02/03/2022 15:21:24;21/12/2023 8:04:25;05;6;24
3774;01 PRIV;Centro;Palacio;Ejecutado;Plaza de la Cebada;Aparcamiento;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;Iniciativa privada;nov-20;04/11/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;01;1;
3775;02 PRIV;Centro;Universidad;Ejecutado;Calle Alberto Aguilera 9;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo);REPSOL;Iniciativa privada;abr-13;12/04/2013 22:00:00;02/03/2022 15:21:24;17/06/2022 6:54:22;01;5;
3776;03 PRIV;Retiro;Adelfas;Ejecutado;Plaza del Conde de Casal 6;Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;Iniciativa privada;nov-20;04/11/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;03;2;
3777;04 PRIV;Fuencarral - El Pardo;El Goloso;Ejecutado;Calle del Monasterio de Arlanza, 20 (Centro Comercial Montecarmelo);Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;Iniciativa privada;dic-19;28/12/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;08;8;
3778;05 PRIV;Hortaleza;Canillas;Ejecutado;Avenida de Machupichu 105;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);GIC;Iniciativa privada;dic-16;28/12/2016 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;16;3;
3779;06 PRIV;Hortaleza;Valdefuentes;Ejecutado;Avenida de Niceto Alcala Zamora 20;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);GIC/ GALP;Iniciativa privada;nov-20;31/10/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;16;6;
3780;07 PRIV;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Avenida Eje Central, 7;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;Iniciativa privada;ene-20;31/12/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;18;1;
3781;08 PRIV;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Carretera de Villaverde a Vallecas 278 ;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo);REPSOL;Iniciativa privada;feb-18;31/01/2018 23:00:00;02/03/2022 15:21:24;17/06/2022 6:57:01;18;1;
3782;09 PRIV;Barajas;Corralejos;Ejecutado;Avenida del Consejo de Europa 2;Estación de servicio;Iniciativa privada;4;350 kW conector CC (CCS);GIC / CEPSA;Iniciativa privada;nov-20;31/10/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;21;5;
3783;10 PRIV;Barajas;Corralejos;Ejecutado;Avenida del Partenón 5 (Recinto IFEMA);Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;Iniciativa privada;dic-19;28/12/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:54;21;5;
3784;1 PropDG;Arganzuela;Palos de Moguer;Ejecutado;Calle del General Lacy, 21;Vía pública;;3;2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;TOTALENERGIES;Concesión demanial;mayo-24;26/05/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:16:20;02;6;24
3793;22 PropDG;Moratalaz;Pavones;Ejecutado;Calle Hacienda de Pavones 231 (enfrente del LIDL);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;05/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:10:15;14;1;24
3798;27 PropDG;Hortaleza;Pinar del Rey;Ejecutado;Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;05/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:09:34;16;4;24
3801;30 PropDG;Villaverde;Los Rosales;Ejecutado;Calle de Santa Florencia (enfrente del 1);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;20/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:11:29;17;4;24
3804;35 PropDG;Vicálvaro;Valderrivas;Ejecutado;Calle de Minerva, 17;Vía pública;;3;2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;TOTALENERGIES;Concesión demanial;jun-24;26/06/2024 22:00:00;02/03/2022 15:21:24;28/08/2024 8:22:10;19;3;24
3807;3 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela D.2.1 Anexo avenida de legazpi;Mercamadrid;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:56;18;1;24
3808;5 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela E4 Anexo Avda Legazpi;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;18;1;24
3809;6 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela B14 Anexo Calle 3;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC (CIRCUTOR);Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;18;1;24
3810;07 VP;Retiro;Ibiza;Ejecutado;Calle Ibiza 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;nov-19;07/11/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;03;4;24
3811;09 VP;Retiro;Jerónimos;Ejecutado;Plaza de la Lealtad, s/n;Vía pública;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;jun-19;17/06/2019 22:00:00;02/03/2022 15:21:24;25/04/2023 10:33:19;03;5;24
3812;10 CoCe20;Carabanchel;Buenavista;Ejecutado;Calle Hilario Herranz Establos, 20;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;17/06/2022 6:58:24;11;6;24
3814;08 CoCe20;Moncloa - Aravaca;Argüelles;Ejecutado;Calle Marqués de Urquijo, 27;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;09;2;24
3815;19 CoCe20;Villaverde;Villaverde Alto, Casco Histórico de Villaverde;Ejecutado;Calle Valle de Tobalina, 24 (ES Ballenoil);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;Convenio cesión;01/03/2022;28/02/2022 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;17;1;24
3816;04 CoCe20;Tetuán;Cuatro Caminos;Ejecutado;Mercado Municipal de Maravillas, Calle Bravo Murillo 122;Mercado municipal;Mercado Municipal;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Convenio cesión;ago-22;31/07/2022 22:00:00;02/03/2022 15:21:24;08/09/2023 11:32:52;06;2;24
3818;11 CoCe20;Usera;Orcasur;Ejecutado;Calle de Eduardo Barreiros, 2 (On rent);Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;17/06/2022 7:00:12;12;2;24
3819;05 CoCe20;Tetuán;Cuatro Caminos;Ejecutado;Avenida del General Perón, 21;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;nov-22;16/11/2022 23:00:00;02/03/2022 15:21:24;22/11/2022 7:40:58;06;2;24
3820;12 CoCe20;Usera;Orcasur;Ejecutado;ES Avenida de Andalucía 38 - Carretera A-4 PK6.70 D;Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio -22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 12:52:54;12;2;24
3822;18 CoCe20;Hortaleza;Apostol Santiago;Ejecutado;SEDE NATURGY, Av San Luis, 77;Aparcamiento;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;Convenio cesión;feb-22;16/02/2022 23:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;16;5;de 6 a 24 h
3823;20 CoCe20;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Atolón 98 (Mercamadrid), Calle 29.;Mercamadrid;-;3;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Convenio cesión;abr-22;24/04/2022 22:00:00;02/03/2022 15:21:24;08/09/2023 11:14:33;18;1;24
3824;15 CoCe20;Ciudad Lineal;Ventas;Ejecutado;Estación de Servicio SUDEL, Calle Ricardo Ortiz, 44;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;Sudel;Convenio cesión;ene-23;19/01/2023 23:00:00;02/03/2022 15:21:24;07/09/2023 11:58:24;15;1;24
3825;17 CoCe20;Ciudad Lineal;Colina;Ejecutado;ES Calle Arturo Soria, 175;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;ene-22;25/01/2022 0:00:00;02/03/2022 15:21:24;07/09/2023 12:01:34;15;7;24
3826;16 CoCe20;Ciudad Lineal;San Pascual;Ejecutado;Calle Verdaguer y García 5 (Ipark-Verdaguer ampliación);Aparcamiento;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;may-22;02/05/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;15;5;24
3827;14 CoCe20;Moratalaz;Marroquina;Ejecutado;CRE Moratalaz Glorieta del Corregidor Sancho de Córdoba;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio-22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;14;3;24
3829;23 CoCe20;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Avenida Mayorazgo, 20;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;ene-23;09/01/2023 23:00:00;02/03/2022 15:21:24;17/02/2023 8:29:15;18;1;24
3830;27 CoCe20;San Blas - Canillejas;Simancas;Ejecutado;Avenida Arcentales, 7;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;ene-23;09/01/2023 23:00:00;02/03/2022 15:21:24;17/02/2023 8:30:11;20;1;24
3831;26 CoCe20;San Blas - Canillejas;Simancas;Ejecutado;Calle Alcalá 510 (CRED San Blas);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio-22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:58:24;20;1;24
3832;28 CoCe20;San Blas - Canillejas;Arcos;Ejecutado;Avenida Canillejas a Vicálvaro, 80;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;sept-22;15/09/2022 22:00:00;02/03/2022 15:21:24;10/10/2022 6:58:48;20;4;24
